KEY,VAR_TARGET,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50
11,1,2309,W,34.0,4050.0,4050.0,3.0,4050.0,0.0,0.0,0.0,32.0,10,0.0,0.0,,E,34.0,926.0,0.0,1.0,0.0,O,B,1500,1500,0.0,0,3,300.0,271.0,16.0,,,3000,2.0,Y,O,1.0,0,,0.0,0.0,,4050.0,0.0,,2.0,0.0,1500,1500.0
12,0,3308,I,63.0,8200.0,4740.0,0.0,12940.0,521.0,568.0,0.0,33.0,10,0.0,0.0,,E,63.0,1405.0,3.0,3.0,0.0,U,E,2900,2900,0.0,0,1,7500.0,0.0,67.0,,,4000,1.0,N,S,121.0,0,,0.0,0.0,,6470.0,0.0,,0.0,,2900,2900.0
13,1,2412,W,34.0,,,1.0,0.0,0.0,0.0,0.0,32.0,8,,,,E,35.0,0.0,1.0,3.0,0.0,,B,2500,2500,,0,0,0.0,0.0,41.0,,,15000,3.0,N,B,1.0,0,,0.0,0.0,,0.0,,,0.0,,2500,
14,0,3003,I,34.0,500.0,500.0,5.0,1000.0,607.0,405.0,146.0,20.0,10,0.0,0.0,,E,1.0,815.0,2.0,3.0,0.0,L,E,1500,1500,0.0,0,7,0.0,0.0,78.0,,,6000,1.0,N,S,301.0,3,,1.0,28.0,,500.0,0.0,,14.0,,1500,1500.0
15,1,2609,Q,34.0,1500.0,1500.0,0.0,3500.0,1801.0,640.0,428.0,25.0,10,2000.0,2000.0,1000.0,E,35.0,892.0,0.0,1.0,0.0,O,B,1800,1800,1.0,0,0,1700.0,1648.0,16.0,991.0,A,6000,2.0,Y,S,1000.0,0,,0.0,4.0,,1750.0,2000.0,963.0,16.0,1051.0,1800,1800.0
16,1,2301,Q,34.0,500.0,500.0,0.0,500.0,314.0,330.0,0.0,36.0,10,0.0,0.0,,E,,893.0,0.0,0.0,0.0,U,B,1700,1700,0.0,0,6,0.0,0.0,16.0,,,3000,5.0,Y,S,401.0,9,,99.0,87.0,,500.0,0.0,1992.0,84.0,1973.0,1700,1700.0
17,0,2807,I,34.0,2950.0,1000.0,0.0,3950.0,1453.0,404.0,0.0,19.0,10,0.0,0.0,,E,34.0,995.0,3.0,4.0,2.0,O,E,3000,3000,0.0,0,0,1100.0,1087.0,65.0,,,12000,2.0,N,S,703.0,0,,0.0,0.0,,1975.0,0.0,,0.0,,3000,3000.0
18,1,2606,Q,34.0,3500.0,3500.0,6.0,4000.0,3789.0,200.0,0.0,16.0,10,500.0,500.0,,E,80.0,1080.0,18.0,25.0,0.0,L,B,1550,1550,1.0,0,8,0.0,0.0,29.0,,,1000,2.0,Y,S,300.0,2,,7.0,6.0,,2000.0,500.0,1474.0,3.0,1108.0,1550,1550.0
19,0,4304,I,34.0,12300.0,5000.0,0.0,42440.0,32122.0,8185.0,1947.0,21.0,7,0.0,0.0,,E,38.0,1164.0,3.0,4.0,1.0,L,E,10000,10000,0.0,0,0,0.0,0.0,7.0,,,15000,3.0,N,B,,1,,0.0,0.0,,8488.0,0.0,,0.0,,10000,10000.0
20,1,2205,Q,34.0,,,1.0,1000.0,806.0,209.0,180.0,36.0,10,1000.0,1000.0,,K,16.0,907.0,0.0,3.0,0.0,O,B,1500,1500,1.0,2,2,0.0,0.0,16.0,,,6000,2.0,Y,S,501.0,16,11342.0,4.0,1104.0,,1000.0,1000.0,,571.0,0.0,1500,1500.0
21,0,5304,I,25.0,10000.0,3200.0,0.0,19900.0,8232.0,2500.0,0.0,,3,0.0,0.0,,E,25.0,1409.0,1.0,1.0,3.0,L,E,3250,3250,0.0,0,2,1025.0,422.0,16.0,,,12500,1.0,Y,S,,7,,226.0,83.0,,6633.0,0.0,,70.0,0.0,3250,3250.0
22,0,4011,I,31.0,17250.0,750.0,1.0,34600.0,18285.0,4335.0,323.0,19.0,6,4600.0,4600.0,0.0,K,31.0,1101.0,1.0,1.0,2.0,L,E,4000,4000,1.0,0,0,700.0,246.0,65.0,0.0,A,15000,1.0,N,O,108.0,46,,0.0,0.0,,4943.0,4600.0,,0.0,,4000,4000.0
23,1,3606,W,34.0,500.0,500.0,0.0,500.0,0.0,0.0,0.0,13.0,9,,,,E,42.0,1150.0,0.0,5.0,1.0,,E,5000,5000,,0,0,250.0,250.0,16.0,,,15000,1.0,N,B,202.0,0,,0.0,0.0,,500.0,,,0.0,,5000,
24,1,4306,I,34.0,3200.0,794.0,0.0,5494.0,5413.0,1458.0,748.0,36.0,10,0.0,0.0,,E,27.0,745.0,10.0,33.0,0.0,I,E,1400,1400,0.0,0,29,1300.0,1333.0,16.0,,,10000,1.0,N,S,202.0,2,,0.0,0.0,,1831.0,0.0,,0.0,,1400,1400.0
25,0,2900,I,35.0,,,0.0,4000.0,877.0,1560.0,0.0,8.0,10,4000.0,4000.0,300.0,E,45.0,1296.0,0.0,3.0,4.0,U,E,3400,3400,1.0,2,14,300.0,0.0,23.0,0.0,A,3150,5.0,Y,S,1004.0,57,16870.0,1067.0,653.0,3400.0,4000.0,4000.0,3069.0,806.0,3410.0,2939,3400.0
26,0,3104,I,34.0,1000.0,1000.0,0.0,8500.0,7836.0,3092.0,0.0,36.0,10,7500.0,7500.0,,E,34.0,1221.0,0.0,0.0,0.0,U,E,10000,10000,1.0,0,4,0.0,0.0,6.0,,,15000,1.0,Y,S,102.0,0,,3745.0,1884.0,,4250.0,7500.0,1912.0,2402.0,1917.0,10000,
27,0,3202,I,34.0,8300.0,8300.0,0.0,15800.0,4559.0,2201.0,0.0,24.0,5,7500.0,7500.0,3000.0,E,48.0,1268.0,1.0,4.0,6.0,U,B,5050,3250,1.0,0,2,3700.0,0.0,11.0,2489.0,A,4000,4.0,Y,S,906.0,1,,6435.0,18433.0,,7900.0,7500.0,2047.0,11333.0,2219.0,3250,
28,0,3706,I,20.0,,,0.0,3200.0,2996.0,885.0,0.0,16.0,10,3200.0,3200.0,1100.0,E,20.0,1306.0,0.0,1.0,0.0,L,E,1250,1250,1.0,1,1,1960.0,0.0,16.0,1096.0,A,3000,3.0,Y,S,402.0,50,294.0,0.0,0.0,,3200.0,3200.0,1159.0,0.0,1201.0,1250,
29,0,2407,I,34.0,,,0.0,3000.0,1248.0,190.0,0.0,5.0,10,3000.0,3000.0,,E,35.0,1370.0,0.0,0.0,0.0,U,B,950,950,1.0,0,0,0.0,0.0,29.0,,,7500,1.0,N,S,1.0,1,,376.0,167.0,,3000.0,3000.0,,125.0,,950,
30,0,2106,I,34.0,500.0,500.0,1.0,500.0,0.0,0.0,0.0,25.0,10,0.0,0.0,,E,26.0,1255.0,1.0,3.0,0.0,L,B,1250,1250,0.0,0,0,0.0,0.0,16.0,,,15000,2.0,Y,S,9.0,0,,477.0,463.0,,500.0,0.0,979.0,461.0,1062.0,1250,
31,1,2201,I,34.0,2750.0,2750.0,1.0,6250.0,926.0,0.0,0.0,36.0,10,3500.0,3500.0,,E,34.0,1241.0,1.0,1.0,1.0,U,B,2500,2500,0.0,0,0,900.0,250.0,16.0,,,15000,1.0,Y,S,7.0,0,,0.0,0.0,,3125.0,3500.0,,0.0,485.0,2500,
32,1,1911,I,34.0,,,0.0,0.0,0.0,0.0,0.0,29.0,10,2000.0,2000.0,100.0,K,34.0,0.0,0.0,0.0,0.0,L,B,1200,1200,0.0,0,0,0.0,0.0,16.0,100.0,A,1000,3.0,Y,S,1.0,0,,0.0,0.0,,0.0,2000.0,,0.0,0.0,1200,
33,1,3508,W,34.0,4950.0,4950.0,1.0,4950.0,3791.0,1200.0,927.0,32.0,10,,,,K,35.0,1127.0,1.0,4.0,0.0,,,2000,2000,,0,0,1314.0,1312.0,78.0,,,1000,3.0,N,S,208.0,0,,0.0,0.0,,4950.0,,,0.0,,2000,
34,1,2410,Q,34.0,4450.0,2000.0,1.0,10000.0,5582.0,870.0,153.0,14.0,10,0.0,0.0,,E,6.0,1027.0,1.0,3.0,0.0,L,B,2500,2500,0.0,1,1,2400.0,1461.0,81.0,,,5000,1.0,N,S,602.0,13,3588.0,92.0,48.0,,3333.0,0.0,,55.0,,2500,2500.0
35,1,3204,W,34.0,,,1.0,0.0,0.0,0.0,0.0,20.0,10,,,,E,35.0,1162.0,0.0,0.0,1.0,,E,2400,2400,,0,0,1082.0,707.0,16.0,,,15000,3.0,N,S,10.0,0,,0.0,0.0,,0.0,,,0.0,,2400,
36,1,2804,I,34.0,,,1.0,0.0,0.0,0.0,0.0,32.0,10,0.0,0.0,,E,19.0,1166.0,2.0,3.0,1.0,L,B,3000,3000,0.0,0,1,867.0,858.0,77.0,,,15000,5.0,Y,S,302.0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,3000,
37,0,2904,I,41.0,2200.0,2200.0,0.0,7200.0,5842.0,1307.0,306.0,28.0,5,5000.0,5000.0,2000.0,E,41.0,1099.0,0.0,0.0,0.0,Y,B,5000,5000,1.0,1,0,5100.0,193.0,1.0,1329.0,A,10000,2.0,Y,E,305.0,40,0.0,491.0,337.0,,3600.0,5000.0,,480.0,0.0,5000,
38,0,3905,I,34.0,5000.0,5000.0,0.0,13550.0,8476.0,2050.0,0.0,36.0,10,8550.0,8550.0,2150.0,E,14.0,992.0,1.0,1.0,6.0,L,E,2750,2750,1.0,1,2,4150.0,0.0,6.0,172.0,A,5000,1.0,N,S,1508.0,0,0.0,445.0,197.0,,6775.0,8550.0,,112.0,,2750,
39,0,3908,I,16.0,24200.0,2500.0,2.0,65700.0,40519.0,5815.0,0.0,3.0,10,9000.0,9000.0,500.0,E,16.0,1523.0,0.0,1.0,2.0,L,E,2100,2100,1.0,1,1,500.0,0.0,14.0,0.0,A,12000,1.0,N,S,1702.0,63,2626.0,0.0,0.0,,10950.0,9000.0,,0.0,,2100,
40,0,3609,I,34.0,7500.0,6000.0,0.0,13500.0,178.0,573.0,0.0,34.0,9,0.0,0.0,,E,34.0,1450.0,0.0,1.0,0.0,U,B,3300,3300,0.0,0,2,0.0,0.0,56.0,,,3000,3.0,N,B,1102.0,0,,690.0,7472.0,,6750.0,0.0,,10552.0,,3300,
41,1,2908,I,34.0,2300.0,1000.0,1.0,5200.0,765.0,2342.0,305.0,14.0,10,1900.0,1900.0,,K,34.0,1076.0,0.0,3.0,2.0,O,E,2000,2000,0.0,1,0,255.0,142.0,65.0,,,3000,5.0,N,B,500.0,9,10962.0,235.0,1298.0,,1733.0,1900.0,,870.0,,2000,2000.0
42,1,3709,Q,34.0,450.0,450.0,1.0,450.0,352.0,100.0,91.0,12.0,10,0.0,0.0,,K,34.0,990.0,0.0,0.0,0.0,I,E,1000,1000,0.0,0,6,374.0,401.0,16.0,,,2200,3.0,Y,S,101.0,9,,165.0,149.0,,450.0,0.0,1411.0,91.0,1457.0,1500,1000.0
43,1,1900,Q,34.0,,,7.0,0.0,0.0,0.0,0.0,5.0,10,0.0,0.0,,E,34.0,0.0,1.0,4.0,0.0,L,B,1300,1300,0.0,0,4,0.0,0.0,77.0,,,2000,1.0,N,S,900.0,7,,0.0,0.0,,0.0,0.0,,0.0,,1300,1300.0
44,1,2808,Q,34.0,,,0.0,1000.0,994.0,1027.0,0.0,24.0,5,1000.0,1000.0,3000.0,E,21.0,863.0,1.0,4.0,4.0,L,B,4850,4850,1.0,0,7,17873.0,18311.0,11.0,544.0,A,15000,4.0,Y,S,604.0,0,,0.0,35.0,,1000.0,1000.0,4875.0,57.0,4556.0,4850,4850.0
45,1,1909,I,34.0,,,3.0,1500.0,15.0,0.0,0.0,16.0,10,1500.0,1500.0,500.0,E,43.0,1186.0,1.0,3.0,0.0,L,B,1800,1800,,1,6,500.0,499.0,6.0,512.0,A,5000,1.0,Y,S,400.0,3,5000.0,8.0,32.0,,1500.0,1500.0,,16.0,887.0,1800,1800.0
46,0,4200,I,34.0,5400.0,5400.0,0.0,5400.0,2838.0,300.0,0.0,12.0,10,0.0,0.0,900.0,E,28.0,1402.0,6.0,8.0,4.0,O,B,1500,1500,,0,4,900.0,20.0,6.0,22.0,A,15000,2.0,N,S,1101.0,9,,0.0,0.0,,5400.0,0.0,,0.0,,1500,
47,1,4203,I,34.0,5950.0,1400.0,2.0,9350.0,4776.0,380.0,0.0,34.0,10,0.0,0.0,,E,28.0,1269.0,7.0,23.0,8.0,L,B,7000,7000,0.0,0,4,5000.0,4771.0,56.0,,,10000,5.0,N,S,11.0,0,,0.0,0.0,,3117.0,0.0,,0.0,,7000,7000.0
48,0,4006,I,34.0,20000.0,2800.0,0.0,64500.0,11186.0,2784.0,0.0,3.0,10,10000.0,10000.0,,E,27.0,1188.0,0.0,3.0,9.0,N,E,4500,4500,,0,6,8350.0,0.0,15.0,,,5000,3.0,N,S,1201.0,2,,0.0,0.0,,10750.0,10000.0,,0.0,,4500,
49,1,5304,I,34.0,1500.0,1200.0,0.0,4700.0,790.0,2010.0,483.0,14.0,9,2000.0,2000.0,350.0,E,6.0,1216.0,1.0,3.0,0.0,I,E,2000,2000,1.0,0,3,600.0,72.0,90.0,0.0,A,10000,3.0,N,B,736.0,0,,0.0,0.0,,1567.0,2000.0,,0.0,,2000,2000.0
50,1,3600,Q,34.0,5000.0,5000.0,1.0,5000.0,2084.0,1284.0,0.0,9.0,5,0.0,0.0,,K,16.0,1245.0,0.0,1.0,0.0,L,B,1700,1700,,1,0,3200.0,3053.0,16.0,,,10000,5.0,N,S,1013.0,0,1000.0,0.0,0.0,,5000.0,0.0,,0.0,,1700,1700.0
51,0,4201,I,34.0,2900.0,2900.0,0.0,2900.0,441.0,40.0,0.0,28.0,10,0.0,0.0,1500.0,E,35.0,1408.0,3.0,5.0,1.0,N,E,1450,1450,,0,2,2600.0,0.0,69.0,0.0,A,5000,1.0,Y,S,307.0,0,,0.0,3197.0,,2900.0,0.0,1452.0,3603.0,1452.0,1450,
52,0,4110,I,34.0,8000.0,8000.0,0.0,10000.0,7312.0,400.0,0.0,25.0,10,2000.0,2000.0,,E,7.0,1354.0,0.0,0.0,0.0,I,E,2000,2000,,0,0,0.0,0.0,16.0,,,7200,1.0,Y,S,1700.0,0,,0.0,24.0,,5000.0,2000.0,1889.0,40.0,1889.0,2000,
53,1,3005,Q,34.0,,,3.0,1000.0,0.0,0.0,0.0,1.0,10,1000.0,1000.0,,E,34.0,1006.0,0.0,2.0,0.0,L,E,2000,2000,0.0,0,8,0.0,0.0,16.0,,,2500,3.0,Y,S,601.0,98,,112.0,38.0,,1000.0,1000.0,1344.0,19.0,672.0,2000,2000.0
54,0,4001,I,34.0,19600.0,3100.0,0.0,31800.0,15289.0,2452.0,0.0,36.0,10,100.0,100.0,,E,33.0,1464.0,1.0,1.0,10.0,L,E,3550,3550,,1,1,5800.0,1303.0,81.0,,,15000,1.0,N,S,111.0,0,124896.0,0.0,2.0,,7950.0,100.0,,2.0,,3550,
55,1,3307,I,34.0,3000.0,3000.0,0.0,3000.0,1585.0,180.0,0.0,32.0,10,0.0,0.0,1400.0,E,34.0,1243.0,1.0,4.0,6.0,O,B,2450,2450,0.0,0,6,17150.0,2153.0,78.0,1433.0,A,13000,2.0,Y,S,1000.0,22,,0.0,0.0,,3000.0,0.0,5328.0,4.0,2890.0,2450,
56,0,2801,I,34.0,5400.0,5400.0,2.0,12800.0,9628.0,1808.0,0.0,35.0,10,7400.0,7400.0,1000.0,E,41.0,1279.0,2.0,7.0,1.0,U,E,2500,2500,,0,17,10050.0,678.0,72.0,743.0,A,15000,1.0,Y,S,3.0,3,,0.0,681.0,,6400.0,7400.0,,365.0,0.0,2500,
57,1,5808,I,34.0,2000.0,2000.0,3.0,2000.0,775.0,300.0,140.0,36.0,10,,,,E,31.0,952.0,0.0,1.0,0.0,N,E,3200,3200,0.0,0,5,600.0,484.0,81.0,,,15000,1.0,N,S,318.0,0,,0.0,0.0,,2000.0,,,0.0,,3200,3200.0
58,1,2101,I,34.0,1100.0,1000.0,0.0,2100.0,690.0,3.0,0.0,31.0,10,,,,E,19.0,940.0,11.0,20.0,0.0,L,B,1300,1300,0.0,0,5,1400.0,1126.0,16.0,,,3000,3.0,N,S,401.0,11,,0.0,0.0,,1050.0,,,0.0,,1300,1300.0
59,0,5803,I,31.0,7500.0,500.0,0.0,15500.0,11579.0,8100.0,0.0,,6,7500.0,7500.0,1100.0,E,31.0,1135.0,4.0,9.0,5.0,L,B,4000,4000,,1,3,17570.0,1888.0,15.0,293.0,A,7000,5.0,N,S,11.0,2,5967.0,0.0,0.0,,5167.0,7500.0,,13.0,,4000,
60,0,5501,I,34.0,7735.0,1000.0,0.0,9985.0,1994.0,562.0,0.0,28.0,5,0.0,0.0,,E,16.0,1058.0,1.0,9.0,12.0,L,E,2850,2850,,0,1,3100.0,0.0,16.0,,,12000,5.0,N,S,1808.0,5,,0.0,0.0,,3328.0,0.0,,0.0,,2850,
61,1,2910,Q,34.0,2000.0,400.0,0.0,4950.0,4457.0,3705.0,298.0,14.0,5,0.0,0.0,,E,26.0,818.0,2.0,2.0,3.0,L,E,2000,2000,0.0,0,7,0.0,0.0,16.0,,,7000,3.0,Y,S,403.0,0,,105.0,113.0,,1238.0,0.0,1437.0,64.0,1526.0,2000,2000.0
62,0,2800,I,34.0,,,0.0,1000.0,1.0,622.0,0.0,36.0,10,1000.0,1000.0,,E,34.0,1284.0,0.0,1.0,2.0,U,B,1850,1850,1.0,0,3,0.0,0.0,10.0,,,8000,3.0,Y,S,401.0,4,,883.0,618.0,,1000.0,1000.0,1874.0,399.0,1857.0,1850,1850.0
63,0,3503,W,26.0,2500.0,2500.0,0.0,2500.0,1751.0,750.0,0.0,36.0,10,,,,E,54.0,1187.0,2.0,9.0,8.0,,E,2000,2000,,0,0,650.0,0.0,81.0,,,2000,1.0,N,Y,807.0,0,,0.0,0.0,,2500.0,,,0.0,,2000,
64,0,2803,W,34.0,3950.0,2000.0,3.0,5950.0,2111.0,620.0,521.0,22.0,10,,,,E,71.0,861.0,2.0,2.0,0.0,,E,2000,2000,,0,0,1500.0,1349.0,83.0,,,2000,1.0,N,S,403.0,0,,0.0,0.0,,2975.0,,,0.0,,2000,
65,1,3304,Q,34.0,,,2.0,3000.0,2910.0,1045.0,0.0,36.0,10,3000.0,3000.0,,E,53.0,0.0,0.0,1.0,0.0,U,B,1600,1600,1.0,0,2,0.0,0.0,16.0,,,2500,2.0,Y,S,700.0,2,,218.0,95.0,,3000.0,3000.0,151.0,48.0,1384.0,1600,1600.0
66,0,3202,W,34.0,2000.0,2000.0,0.0,6000.0,2576.0,690.0,0.0,31.0,10,,,,E,33.0,1357.0,0.0,2.0,0.0,,E,1200,1200,,0,0,500.0,0.0,51.0,,,5000,4.0,N,S,411.0,0,,0.0,0.0,,2000.0,,,0.0,,1200,
67,1,2310,I,34.0,,,0.0,0.0,0.0,0.0,0.0,13.0,10,0.0,0.0,,E,10.0,1061.0,0.0,0.0,0.0,N,B,1500,1500,,2,1,0.0,0.0,64.0,,,5000,3.0,N,S,3.0,0,10000.0,0.0,0.0,,0.0,0.0,,0.0,,1500,
68,0,2104,W,34.0,7000.0,7000.0,0.0,7000.0,1189.0,0.0,0.0,32.0,10,,,,E,34.0,1207.0,0.0,1.0,1.0,,B,1900,1900,,0,0,1000.0,0.0,78.0,,,7000,2.0,N,S,208.0,0,,0.0,0.0,,7000.0,,,0.0,,1900,
69,1,3902,W,34.0,4000.0,0.0,3.0,6300.0,6454.0,1080.0,0.0,16.0,10,0.0,0.0,,E,66.0,1148.0,10.0,11.0,0.0,I,B,1500,1500,0.0,0,7,250.0,252.0,6.0,,,5000,1.0,N,I,0.0,1,,0.0,0.0,,2100.0,0.0,,0.0,,1500,1500.0
70,0,3303,I,34.0,3540.0,3540.0,0.0,10040.0,8182.0,4000.0,1892.0,21.0,10,6500.0,6500.0,,K,34.0,1238.0,2.0,2.0,7.0,L,E,3500,3500,0.0,1,0,300.0,199.0,10.0,,,6000,2.0,N,S,415.0,5,20543.0,137.0,117.0,3500.0,5020.0,6500.0,,108.0,,3500,3500.0
71,1,2503,Q,34.0,600.0,600.0,1.0,2600.0,158.0,0.0,0.0,14.0,10,2000.0,2000.0,,K,17.0,1150.0,3.0,3.0,1.0,L,E,1500,1500,0.0,0,4,900.0,894.0,16.0,,,10000,5.0,N,S,102.0,0,,0.0,0.0,,1300.0,2000.0,,0.0,,1500,1500.0
72,1,2303,W,35.0,,,1.0,1500.0,526.0,500.0,0.0,,10,1500.0,1500.0,,,35.0,1273.0,0.0,0.0,0.0,,E,1418,1418,1.0,0,1,0.0,0.0,66.0,,,10000,1.0,Y,S,,15,,10.0,13.0,,1500.0,1500.0,1443.0,7.0,2048.0,2000,1418.0
73,1,4209,I,34.0,10000.0,10000.0,0.0,10000.0,235.0,125.0,0.0,11.0,5,0.0,0.0,,E,35.0,1367.0,2.0,16.0,10.0,L,E,2600,2600,0.0,0,1,20454.0,870.0,89.0,,,15000,5.0,Y,E,2101.0,5,,0.0,0.0,,10000.0,0.0,,0.0,0.0,2600,
74,1,2803,I,17.0,,,0.0,1000.0,984.0,545.0,0.0,28.0,10,1000.0,1000.0,750.0,K,17.0,958.0,1.0,3.0,0.0,L,E,1050,1050,1.0,2,23,750.0,2.0,79.0,749.0,A,3000,3.0,Y,S,505.0,71,3364.0,23.0,17.0,,1000.0,1000.0,1061.0,61.0,1050.0,1050,
75,1,4907,W,34.0,1000.0,900.0,1.0,1900.0,0.0,0.0,0.0,17.0,5,,,,E,59.0,1245.0,2.0,4.0,1.0,,E,3200,3200,,0,0,8808.0,129.0,81.0,,,5000,3.0,N,S,9.0,0,,0.0,0.0,,950.0,,,0.0,,3200,
76,1,5409,I,34.0,,,0.0,0.0,0.0,0.0,0.0,14.0,3,0.0,0.0,,E,53.0,1102.0,0.0,1.0,3.0,O,E,1975,1975,0.0,0,4,0.0,0.0,64.0,,,10000,3.0,N,S,3110.0,1,,0.0,0.0,,0.0,0.0,,0.0,,1975,
77,0,2705,Q,34.0,3800.0,750.0,2.0,4550.0,605.0,900.0,0.0,8.0,10,0.0,0.0,,E,34.0,1217.0,0.0,1.0,0.0,O,B,2000,2000,0.0,0,0,0.0,0.0,7.0,,,10000,1.0,N,S,0.0,3,,1220.0,766.0,,2275.0,0.0,,385.0,,2000,2000.0
78,0,4204,Q,34.0,40000.0,20000.0,0.0,110000.0,88329.0,12721.0,2598.0,28.0,10,0.0,0.0,3000.0,E,76.0,691.0,0.0,17.0,9.0,Y,E,25000,25000,0.0,0,12,18428.0,15940.0,1.0,0.0,A,15000,1.0,Y,S,504.0,0,,1769.0,1013.0,,27500.0,0.0,,711.0,0.0,25000,25000.0
79,0,3302,I,31.0,500.0,500.0,1.0,2500.0,1279.0,460.0,0.0,14.0,10,2000.0,2000.0,750.0,E,31.0,1227.0,1.0,1.0,0.0,L,E,1350,1350,1.0,0,0,750.0,0.0,89.0,0.0,A,2000,1.0,N,S,701.0,0,,43.0,32.0,1600.0,1250.0,2000.0,,178.0,,1400,1350.0
80,0,3812,Q,34.0,1500.0,1000.0,0.0,4600.0,2537.0,1352.0,70.0,7.0,10,1000.0,1000.0,,E,81.0,796.0,1.0,2.0,0.0,L,E,1700,1700,1.0,0,4,1000.0,941.0,16.0,,,5000,2.0,Y,S,501.0,1,,54.0,128.0,,1150.0,1000.0,1810.0,65.0,1800.0,1700,1700.0
